"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"d:\Code\c++\liusenyuan\project\MD5.h", "C++", 246, 0, 70, 54, 370
"d:\Code\c++\liusenyuan\project\functions.h", "C++", 7, 0, 0, 8, 15
"d:\Code\c++\liusenyuan\project\login.cpp", "C++", 25, 0, 5, 4, 34
"d:\Code\c++\liusenyuan\project\main.cpp", "C++", 127, 0, 0, 10, 137
"d:\Code\c++\liusenyuan\project\makefile", "Makefile", 0, 2, 0, 0, 2
"d:\Code\c++\liusenyuan\project\student.cpp", "C++", 55, 0, 0, 13, 68
"d:\Code\c++\liusenyuan\project\student.h", "C++", 35, 0, 0, 8, 43
"d:\Code\c++\liusenyuan\project\students.cpp", "C++", 90, 0, 0, 9, 99
"d:\Code\c++\liusenyuan\project\students.h", "C++", 16, 0, 0, 5, 21
"Total", "-", 601, 2, 75, 111, 789